model_name,dataset,optimizer_type,accuracy,f1_score,training_time,epochs_completed,gpu_memory_mb,flops,source_file,hyperparameters,status,auprc,training_time_per_epoch,auroc,precision,recall,gpu_temp_max,gpu_temp_avg,rank
TNC,Chinatown,,0.4548,0.4487,26.585302114486694,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_215432/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.4933,0.0,0.4917,0.5101,0.5119,,,10
TNC,Chinatown,,0.4198,0.4126,26.646965265274048,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213333/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.518,0.0,0.4965,0.4703,0.4646,,,11
TNC,AtrialFibrillation,,0.4,0.3862,31.258172273635864,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_221436/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.4671,0.0,0.52,0.5694,0.4,,,12
TFC,AtrialFibrillation,,0.4,0.3205,15.765450716018677,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_225332/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.0,0.0,0.0,0.0,0.0,,,12
TNC,AtrialFibrillation,,0.4,0.3247,30.45402503013611,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213446/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.355,0.0,0.3533,0.2778,0.4,,,12
TNC,AtrialFibrillation,,0.4,0.3873,32.5395724773407,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_224509/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.4527,0.0,0.5,0.5778,0.4,,,12
TNC,Chinatown,,0.3936,0.3856,26.880787134170532,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_224509/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.5643,0.0,0.5968,0.4414,0.43,,,13
MF_CLR,Chinatown,,0.3819,0.3804,8.421391487121582,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_223105/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.0,0.0,0.0,0.0,0.0,,,14
TFC,Chinatown,,0.344,0.3438,3.4053361415863037,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_220534/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.4907,0.0,0.4554,0.4398,0.4422,,,15
TimeHUT,AtrialFibrillation,,0.3333333333333333,0.0,20.957847595214844,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_221436/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'repr_dims': 320, 'n_iters': 200, 'seed': 42}",master_benchmark,0.3915079365079365,0.0,0.3915079365079365,0.0,0.0,,,16
